0	523011
1	159380
2	94256
3	64561
4	63480
5	46309
6	39385
7	38827
8	90192
9	85603
10	37743
11	36959
12	37119
13	36989
14	36820
15	37066
16	37887
17	38175
18	38342
19	39940
20	41015
21	41125
22	55337
23	59416
24	50393
25	57124
26	68370
27	68743
28	78821
29	66688
30	69743
31	73454
32	77627
33	74687
34	77987
35	80953
36	86060
37	88475
38	93976
39	95114
40	99861
41	108422
42	113204
43	123964
44	135673
45	176034
46	142770
47	154358
48	158111
49	270052
50	175363
51	179389
52	191021
53	199899
54	225091
55	205753
56	220102
57	230240
58	235938
59	256800
60	261369
61	294930
62	294361
63	297252
64	318835
65	333155
66	338446
67	349883
68	416656
69	436496
70	405155
71	471502
72	444124
73	467246
74	492483
