0	479445
1	164524
2	93707
3	66354
4	64214
5	50416
6	50186
7	45740
8	50739
9	51077
10	50458
11	53250
12	59802
13	62235
14	52655
15	56750
16	55655
17	67423
18	56643
19	51885
20	54813
21	55254
22	58907
23	67329
24	68067
25	100121
26	108425
27	110762
28	133722
29	145150
30	166206
31	171553
32	197403
33	279912
34	280653
35	294136
36	346361
37	259281
38	395016
39	348641
40	406223
41	441434
42	342420
43	510484
44	618462
45	631846
46	556394
47	702368
48	739255
49	735328
50	691676
51	786115
52	810367
53	849542
54	976467
55	938056
56	913700
57	979826
58	1284157
59	1193393
60	1053877
61	1249589
62	1204905
63	1443005
64	1417898
65	1453529
66	1388377
67	1515602
68	1575250
69	1618788
70	1694650
71	1755618
72	1798484
73	1933090
74	2085949
