.	4502	5220	5094	5348	5542	5511	5790	6567	7606	8082	7304	7036	7118	7357	8096	8193	8620	9028	9902	11001	12109	14112	16574	18578	19826	21196	22473	23597	24529	24613	26012	26584	26321	26281	26609	26345	27246	28931	30543	32133	35399	39730	44397	47376	47715	48910	52070	54808	55402	58873	60989	64799	67439	69153	71074	72727	75819	79659	82778	87261	89138	92227	95201	100543	105608	107669	110881	118586	124510	125179	123741	120938	114859	112072	57256	
@	798730	792675	862727	942207	980833	933573	976612	1052243	1168854	1300756	1374201	1316041	1242161	1271254	1321110	1348754	1344979	1344501	1345769	1346070	1378523	1419685	1451369	1529263	1564409	1601362	1655919	1708444	1720329	1710532	1724121	1766445	1788356	1809043	1876626	1895145	1933035	1937039	1941102	1951643	1955314	1944590	1939955	1970253	1972689	1977307	1963134	2002652	2015835	2000877	1990949	1964500	1937238	1943128	1920398	1898281	1866628	1834425	1846572	1816106	1809864	1771840	1729790	1684470	1625683	1582579	1526249	1451870	1381746	1329031	1291958	1255984	1222719	1033270	968852	
<	51190	74837	89727	107950	113457	105763	111529	124731	150563	166504	169804	167614	161621	169607	183147	187610	189238	194611	201217	210128	222430	249376	267607	287576	306723	319592	333617	358299	373691	374803	379990	383854	398205	415793	432820	444413	453096	468071	478841	492025	518768	546512	573452	599947	612314	635745	665343	687731	712649	728443	752702	767848	781735	805868	821887	833191	843302	859627	867023	866755	881307	890180	898427	906197	917190	940642	951672	952733	951042	948259	951954	947536	927596	948136	898485	
;	47303	82942	97432	117979	128671	130880	135741	140132	154724	161851	169019	171088	170158	177479	181882	188581	191649	197359	207225	217601	231223	248472	264478	285325	303835	316926	320651	341385	349785	349852	359225	358985	373617	389459	409110	421320	424265	441334	456107	474865	503580	536077	569513	584964	602862	632930	666259	698845	719110	741003	770705	794617	816491	838311	862520	882239	899627	907378	917970	921673	927436	945023	964007	977985	998026	1022885	1038488	1049259	1054636	1058000	1055106	1059327	1041627	1042337	981779	
A	2849816	2777300	3005339	3119955	3228707	3221141	3418826	3677929	3945428	4107378	4232060	4163782	4069872	4180614	4083893	4164016	4167743	4188400	4188581	4204556	4268055	4113528	4168597	4212374	4298326	4397158	4301253	4397555	4421614	4437899	4463055	4322407	4362172	4392946	4400976	4409306	4274535	4253225	4242919	4220573	4173126	4104000	4024473	3876236	3842147	3780150	3685553	3606783	3467145	3384509	3305850	3211609	3129774	3002673	2918713	2850174	2764719	2694297	2637825	2578586	2482211	2384600	2295680	2202533	2081483	1942550	1827563	1693206	1573858	1497113	1416104	1328959	1283098	983335	938832	
6	10690	19822	23542	27859	30296	31250	32404	35114	40300	43197	41272	41185	41494	43114	49497	50454	54287	57098	60324	64668	70594	84404	92897	98726	102933	107388	115299	121234	122602	120814	125085	132872	134519	139513	139452	139972	147527	157788	167663	176281	192488	211199	231542	252222	256647	265738	285130	294792	311368	326261	341838	358697	376093	394568	409100	417898	433844	451714	455023	464104	479559	495773	515195	532935	556393	588852	613589	648126	675959	692204	710889	715410	710676	728337	716944	
3	8356	13353	15790	18693	20026	20969	22382	23419	26417	26909	27269	27848	28673	30099	30323	31982	34884	37758	40739	44260	50032	54662	60556	68802	72435	75525	76274	79966	82452	79892	83761	85491	88167	89146	91500	93877	93583	100108	108104	114914	128563	142954	160840	167224	171641	179977	195265	209619	209812	219428	232467	249150	261341	261290	272333	279553	291985	302077	311763	321101	318391	333292	347912	366302	387565	397955	422878	454194	484930	499752	500377	520654	525197	582565	555900	
%	8241	7452	5316	5960	5994	3912	4559	8559	13030	9331	4783	4217	4165	4040	4193	4221	4208	4476	4641	4826	5373	8467	11356	10326	9617	11227	11979	12054	12275	11936	12350	12583	12050	11329	10910	11392	11463	11343	11948	11937	12883	14767	16017	17559	18398	18357	18908	19367	22187	22448	20014	21573	21776	23910	23556	21475	22515	23283	23782	25800	28175	28970	28277	29416	30239	29929	29077	29881	29915	27923	27685	23103	16404	7391	354	
#	34074	16537	16958	17663	18553	18965	19937	41574	60780	41200	24208	26094	27997	30755	33337	36142	40135	45459	52738	61832	72044	86194	98257	108597	122199	140453	158897	176845	188875	200975	219426	239217	260387	283899	310112	339663	372011	408690	450299	496199	546257	597891	650409	704310	779767	838582	880154	944036	1058688	1129273	1156555	1235870	1317603	1411528	1505016	1597428	1703860	1817467	1938061	2072431	2224044	2348716	2445562	2555872	2677270	2808643	2952650	3124621	3326229	3522733	3758515	4073261	4490955	5233786	6296778	
>	92272	172508	203163	251490	277268	272683	287489	313208	365645	399401	410380	405008	398474	421400	460993	488609	500818	515392	533188	551895	589957	634026	674348	698862	746961	790512	825138	887553	908249	919372	945073	965721	1013848	1056966	1080484	1116154	1124588	1151500	1175832	1212089	1256950	1303533	1341483	1351012	1392197	1441927	1484443	1504247	1510491	1535165	1563985	1582323	1592660	1591221	1606256	1619723	1624522	1609946	1601482	1595535	1568774	1557763	1554108	1541247	1521465	1486433	1458115	1410352	1365550	1338660	1294341	1255376	1212287	1110805	1104911	
