0	583561
1	155738
2	97393
3	219247
4	64407
5	53324
6	102171
7	43650
8	54621
9	59835
10	45489
11	46295
12	47219
13	62602
14	49445
15	108843
16	53257
17	92576
18	55646
19	60877
20	63305
21	72891
22	68715
23	71872
24	73755
25	92095
26	90357
27	126039
28	124447
29	124955
30	131699
31	140081
32	150319
33	154412
34	217697
35	189498
36	181489
37	197213
38	226296
39	242702
40	227930
41	245011
42	241129
43	258881
44	274447
45	338468
46	308177
47	333256
48	330154
49	329541
50	350303
51	367270
52	389213
53	445788
54	523365
55	511138
56	515831
57	536135
58	552727
59	553632
60	614076
61	650530
62	707625
63	694476
64	736792
65	793007
66	797991
67	793409
68	850610
69	913657
70	953410
71	975512
72	1013980
73	1079092
74	1099296
