-1	15547
-10	8459
-11	7457
-12	7552
-13	7279
-14	6806
-15	6581
-16	6369
-17	5855
-18	5891
-19	5743
-2	14082
-20	5579
-21	5702
-22	5793
-23	5675
-24	5786
-25	5850
-26	5640
-27	5869
-28	5808
-29	5753
-3	13673
-30	5900
-31	6246
-32	5996
-33	6300
-34	6688
-35	6481
-36	6799
-37	7342
-38	7060
-39	7471
-4	13010
-40	7518
-41	7447
-42	7893
-43	8515
-44	8261
-45	8950
-46	9168
-47	9195
-48	9132
-49	9239
-5	11418
-50	9704
-51	9864
-52	10209
-53	10350
-54	10719
-55	11719
-56	11492
-57	12187
-58	12299
-59	12257
-6	11042
-60	12659
-61	12910
-62	12922
-63	13860
-64	13863
-65	14086
-66	15339
-67	15636
-68	15168
-69	16001
-7	10050
-70	16298
-71	16063
-72	16659
-73	16844
-74	16577
-75	17848
-8	9243
-9	9014
0	16362
1	16394
10	24620
11	26468
12	27362
13	27821
14	29917
15	31555
16	33467
17	36611
18	39608
19	41736
2	18368
20	46306
21	50750
22	54600
23	61191
24	67572
25	74502
26	83945
27	95452
28	105897
29	119742
3	19066
30	134240
31	148362
32	167031
33	186738
34	202706
35	224504
36	247920
37	270339
38	299063
39	323178
4	19207
40	341157
41	367781
42	389956
43	406212
44	428498
45	447726
46	459568
47	475766
48	489880
49	491751
5	20585
50	501861
51	505541
52	500653
53	504083
54	498487
55	492219
56	485716
57	479037
58	463672
59	458737
6	22443
60	447351
61	433331
62	420825
63	407913
64	388322
65	377205
66	360616
67	345348
68	335292
69	323531
7	21697
70	306024
71	294135
72	277629
73	262036
74	252021
75	240593
76	223407
77	211559
78	198937
79	185754
8	23308
80	175753
81	162941
82	150863
83	140250
84	130101
85	119153
86	109203
87	102591
88	93644
89	86341
9	24165
90	79556
91	73530
92	67926
93	63977
94	59218
95	55130
96	52636
97	50018
98	47913
