/	0.00019	0.00025	0.00028	0.00031	0.00032	0.00035	0.00036	0.00039	0.00043	0.00043	0.00045	0.00048	0.00053	0.00055	0.00057	0.00061	0.00066	0.00074	0.00076	0.00085	0.00092	0.00097	0.00102	0.00110	0.00115	0.00129	0.00141	0.00152	0.00164	0.00175	0.00182	0.00189	0.00196	0.00202	0.00225	0.00247	0.00263	0.00295	0.00315	0.00314	0.00329	0.00342	0.00353	0.00381	0.00408	0.00432	0.00456	0.00480	0.00491	0.00495	0.00512	0.00535	0.00569	0.00601	0.00605	0.00599	0.00599	0.00610	0.00644	0.00669	0.00697	0.00740	0.00790	0.00843	0.00886	0.00895	0.00929	0.00994	0.01046	0.01063	0.01057	0.01004	0.00905	0.00930	0.00507	
:	0.00080	0.00116	0.00136	0.00159	0.00180	0.00184	0.00190	0.00207	0.00246	0.00263	0.00278	0.00300	0.00323	0.00347	0.00369	0.00406	0.00450	0.00493	0.00531	0.00575	0.00641	0.00693	0.00748	0.00824	0.00894	0.00991	0.01079	0.01169	0.01276	0.01376	0.01447	0.01519	0.01579	0.01663	0.01797	0.01926	0.02024	0.02165	0.02258	0.02314	0.02370	0.02456	0.02605	0.02791	0.02940	0.03071	0.03169	0.03232	0.03328	0.03373	0.03422	0.03474	0.03593	0.03674	0.03660	0.03618	0.03536	0.03527	0.03581	0.03630	0.03683	0.03766	0.03868	0.03963	0.03990	0.03984	0.03982	0.03979	0.03944	0.03898	0.03853	0.03817	0.03660	0.03796	0.03566	
=	0.00436	0.00732	0.00815	0.00974	0.01113	0.01190	0.01222	0.01291	0.01473	0.01572	0.01635	0.01714	0.01791	0.01869	0.01910	0.02010	0.02137	0.02282	0.02418	0.02574	0.02771	0.02913	0.03185	0.03466	0.03676	0.03917	0.04120	0.04276	0.04524	0.04781	0.04954	0.05058	0.05112	0.05218	0.05452	0.05676	0.05766	0.05856	0.05951	0.06025	0.06082	0.06257	0.06594	0.06886	0.07020	0.07098	0.07174	0.07209	0.07256	0.07225	0.07147	0.07155	0.07198	0.07181	0.07013	0.06825	0.06676	0.06580	0.06531	0.06455	0.06370	0.06330	0.06316	0.06245	0.06157	0.06032	0.05894	0.05694	0.05505	0.05356	0.05222	0.05101	0.05006	0.04352	0.03756	
7	0.00087	0.00102	0.00117	0.00130	0.00143	0.00147	0.00147	0.00161	0.00187	0.00199	0.00202	0.00220	0.00235	0.00249	0.00261	0.00283	0.00317	0.00347	0.00369	0.00406	0.00450	0.00474	0.00507	0.00547	0.00587	0.00652	0.00711	0.00769	0.00842	0.00904	0.00959	0.01004	0.01032	0.01092	0.01196	0.01296	0.01362	0.01474	0.01555	0.01583	0.01631	0.01696	0.01795	0.01933	0.02042	0.02135	0.02229	0.02300	0.02363	0.02404	0.02435	0.02497	0.02613	0.02698	0.02692	0.02631	0.02590	0.02604	0.02663	0.02725	0.02785	0.02888	0.03018	0.03150	0.03226	0.03236	0.03291	0.03344	0.03379	0.03393	0.03373	0.03340	0.03147	0.03617	0.03671	
,	0.00018	0.00021	0.00026	0.00028	0.00027	0.00030	0.00032	0.00033	0.00036	0.00035	0.00036	0.00040	0.00043	0.00043	0.00045	0.00048	0.00053	0.00057	0.00058	0.00064	0.00069	0.00072	0.00075	0.00080	0.00085	0.00093	0.00103	0.00111	0.00117	0.00126	0.00133	0.00135	0.00136	0.00142	0.00157	0.00171	0.00182	0.00204	0.00217	0.00214	0.00220	0.00229	0.00234	0.00250	0.00270	0.00279	0.00298	0.00313	0.00314	0.00313	0.00319	0.00329	0.00347	0.00367	0.00363	0.00353	0.00353	0.00361	0.00376	0.00391	0.00397	0.00426	0.00447	0.00468	0.00492	0.00489	0.00500	0.00528	0.00547	0.00552	0.00532	0.00492	0.00425	0.00393	0.00198	
*	0.00031	0.00033	0.00044	0.00047	0.00040	0.00038	0.00034	0.00038	0.00047	0.00044	0.00038	0.00041	0.00044	0.00046	0.00049	0.00051	0.00056	0.00058	0.00052	0.00054	0.00057	0.00057	0.00055	0.00056	0.00058	0.00062	0.00067	0.00070	0.00070	0.00071	0.00072	0.00074	0.00077	0.00079	0.00083	0.00085	0.00088	0.00098	0.00106	0.00103	0.00102	0.00104	0.00104	0.00108	0.00113	0.00119	0.00124	0.00126	0.00127	0.00126	0.00125	0.00129	0.00133	0.00141	0.00145	0.00140	0.00138	0.00138	0.00145	0.00149	0.00151	0.00158	0.00163	0.00167	0.00173	0.00173	0.00174	0.00182	0.00184	0.00181	0.00167	0.00143	0.00117	0.00076	0.00024	
2	0.00032	0.00046	0.00053	0.00057	0.00064	0.00064	0.00064	0.00073	0.00084	0.00089	0.00090	0.00096	0.00103	0.00108	0.00114	0.00120	0.00132	0.00147	0.00155	0.00170	0.00187	0.00196	0.00204	0.00218	0.00228	0.00254	0.00276	0.00297	0.00326	0.00343	0.00367	0.00380	0.00384	0.00408	0.00456	0.00494	0.00523	0.00584	0.00621	0.00627	0.00651	0.00676	0.00706	0.00764	0.00816	0.00861	0.00914	0.00950	0.00981	0.00999	0.01012	0.01053	0.01122	0.01178	0.01170	0.01136	0.01119	0.01122	0.01161	0.01200	0.01238	0.01313	0.01411	0.01521	0.01593	0.01599	0.01634	0.01726	0.01786	0.01818	0.01811	0.01760	0.01601	0.01835	0.01885	
-	0.00013	0.00015	0.00018	0.00018	0.00018	0.00019	0.00019	0.00021	0.00024	0.00024	0.00025	0.00027	0.00028	0.00030	0.00031	0.00034	0.00037	0.00041	0.00041	0.00044	0.00049	0.00051	0.00054	0.00057	0.00060	0.00067	0.00073	0.00080	0.00087	0.00094	0.00096	0.00100	0.00102	0.00107	0.00121	0.00133	0.00143	0.00163	0.00178	0.00177	0.00182	0.00186	0.00188	0.00198	0.00216	0.00227	0.00243	0.00251	0.00256	0.00260	0.00263	0.00274	0.00287	0.00302	0.00306	0.00309	0.00313	0.00324	0.00344	0.00364	0.00377	0.00399	0.00417	0.00434	0.00456	0.00461	0.00479	0.00506	0.00531	0.00533	0.00514	0.00472	0.00413	0.00378	0.00189	
1	0.00034	0.00048	0.00054	0.00059	0.00063	0.00068	0.00071	0.00073	0.00080	0.00082	0.00085	0.00091	0.00098	0.00100	0.00103	0.00111	0.00123	0.00134	0.00141	0.00156	0.00170	0.00181	0.00192	0.00207	0.00226	0.00249	0.00270	0.00297	0.00324	0.00350	0.00369	0.00387	0.00400	0.00418	0.00470	0.00516	0.00550	0.00612	0.00654	0.00657	0.00685	0.00721	0.00763	0.00847	0.00919	0.00971	0.01036	0.01092	0.01120	0.01135	0.01154	0.01203	0.01289	0.01366	0.01343	0.01273	0.01244	0.01240	0.01288	0.01328	0.01361	0.01453	0.01580	0.01722	0.01811	0.01811	0.01847	0.01947	0.02028	0.02060	0.02065	0.01998	0.01807	0.01945	0.01091	
C	0.13585	0.25681	0.23002	0.20832	0.19078	0.18605	0.18632	0.17546	0.15815	0.14513	0.14557	0.14856	0.14422	0.14074	0.14167	0.14057	0.13824	0.13312	0.12723	0.11971	0.11061	0.10240	0.09300	0.08417	0.07901	0.07296	0.06868	0.06430	0.05918	0.05455	0.05235	0.05267	0.05687	0.05576	0.04684	0.04185	0.04016	0.03760	0.03546	0.03570	0.03523	0.03252	0.02787	0.02398	0.02152	0.02010	0.01883	0.01778	0.01703	0.01685	0.01697	0.01650	0.01553	0.01462	0.01512	0.01616	0.01646	0.01579	0.01428	0.01263	0.01106	0.00962	0.00849	0.00721	0.00631	0.00608	0.00573	0.00521	0.00480	0.00447	0.00414	0.00397	0.00418	0.00324	0.00611	
