/	4158	5373	5959	6576	6852	7550	7792	8497	9316	9239	9737	10436	11338	11817	12320	13204	14155	16001	16363	18357	19865	20838	21892	23576	24696	27757	30318	32615	35359	37650	39245	40774	42230	43549	48515	53145	56601	63492	67851	67513	70820	73659	75878	82060	87918	92996	98243	103266	105574	106544	110136	115229	122430	129300	130200	129002	128861	131368	138560	143954	149911	159328	169979	181362	190646	192532	199962	213985	225070	228763	227469	216133	194858	200247	109199	
:	17191	24956	29316	34265	38830	39615	40791	44465	52958	56698	59788	64584	69549	74605	79433	87290	96907	106092	114317	123670	137983	149147	160942	177245	192465	213228	232309	251566	274699	296143	311485	326977	339803	357993	386875	414645	435711	466048	485934	498020	510102	528524	560624	600713	632833	660983	682001	695565	716340	725946	736543	747765	773306	790662	787672	778750	761007	759121	770730	781339	792709	810537	832422	853068	858879	857455	857122	856445	848807	839068	829387	821569	787831	817069	767423	
=	93821	157506	175376	209604	239562	256175	263008	277911	317015	338369	351837	368990	385432	402340	411042	432538	460027	491129	520415	554029	596355	626881	685535	745895	791233	843161	886721	920321	973736	1029093	1066356	1088633	1100285	1123133	1173507	1221721	1240938	1260385	1280900	1296887	1309146	1346798	1419148	1482155	1511018	1527682	1543999	1551634	1561821	1555039	1538361	1540005	1549317	1545667	1509511	1468954	1436871	1416308	1405599	1389315	1371089	1362471	1359380	1344201	1325289	1298351	1268528	1225514	1184802	1152738	1123893	1097886	1077421	936733	808389	
7	18766	21904	25141	28068	30827	31554	31680	34745	40247	42800	43438	47377	50474	53620	56102	60818	68333	74645	79445	87489	96897	101917	109109	117771	126287	140390	153028	165415	181257	194517	206435	216173	222156	235084	257346	279018	293252	317299	334704	340641	351016	364994	386284	416103	439595	459525	479823	495059	508606	517367	524032	537537	562398	580663	579509	566184	557495	560422	573137	586575	599396	621641	649581	677888	694443	696495	708262	719713	727233	730292	725926	718905	677444	778554	790173	
,	3828	4566	5667	6074	5866	6443	6798	7104	7743	7602	7703	8608	9294	9347	9768	10405	11400	12269	12528	13733	14771	15533	16088	17116	18396	20051	22240	23789	25134	27100	28528	28981	29304	30657	33805	36848	39252	43891	46665	45954	47366	49221	50283	53735	58068	60148	64064	67358	67618	67444	68661	70819	74679	79069	78070	76027	75921	77622	81026	84245	85346	91629	96263	100809	105871	105158	107510	113561	117820	118851	114484	105799	91408	84609	42605	
*	6679	7108	9474	10116	8565	8139	7419	8105	10083	9563	8138	8867	9575	9835	10643	10882	12013	12437	11284	11643	12229	12185	11876	12117	12535	13340	14359	15120	14997	15207	15544	15852	16499	16976	17828	18308	18998	20993	22845	22144	21925	22455	22401	23283	24423	25654	26635	27154	27321	27179	26972	27777	28709	30453	31206	30121	29777	29800	31157	32032	32532	33908	35049	35995	37267	37163	37482	39260	39644	38943	35894	30681	25162	16423	5209	
2	6857	9944	11385	12369	13848	13671	13807	15661	18143	19119	19381	20599	22086	23219	24553	25787	28505	31573	33429	36665	40210	42121	43898	46859	49080	54593	59308	63915	70083	73812	78897	81790	82599	87872	98126	106345	112473	125764	133642	134895	140173	145439	151859	164478	175599	185365	196682	204469	211204	214913	217911	226710	241551	253511	251908	244580	240846	241552	249968	258309	266375	282594	303605	327292	342853	344144	351621	371508	384492	391347	389787	378866	344692	394867	405751	
-	2757	3291	3824	3880	3970	4072	4036	4543	5242	5078	5310	5779	5984	6454	6749	7240	7881	8841	8821	9457	10553	11038	11618	12255	13013	14429	15708	17265	18730	20250	20565	21478	21923	22998	25954	28599	30706	34987	38217	38051	39098	40114	40492	42706	46415	48944	52213	53938	55103	55953	56665	59058	61709	65023	65926	66570	67395	69756	74055	78353	81161	85919	89654	93455	98183	99195	103044	108997	114247	114714	110545	101572	88830	81346	40775	
1	7420	10364	11638	12747	13497	14640	15240	15656	17242	17688	18238	19504	21006	21507	22163	23982	26512	28748	30337	33517	36588	38856	41413	44471	48635	53555	58062	63986	69674	75255	79519	83259	86020	89974	101082	111019	118364	131691	140863	141379	147373	155270	164291	182378	197866	208928	222975	234955	240972	244212	248319	259029	277451	294006	289143	273958	267840	266785	277216	285903	293014	312840	340070	370545	389713	389825	397447	419048	436394	443298	444429	430008	389021	418635	234728	
C	2923928	5527319	4950690	4483779	4106156	4004470	4010163	3776380	3403954	3123685	3133065	3197566	3104105	3029225	3049146	3025531	2975438	2865098	2738372	2576504	2380749	2204065	2001758	1811689	1700577	1570325	1478199	1383953	1273694	1174014	1126778	1133574	1224008	1200100	1008207	900647	864350	809209	763216	768330	758274	699938	599951	516038	463176	432718	405287	382788	366649	362575	365236	355173	334301	314778	325459	347752	354313	339790	307396	271929	238005	206987	182639	155247	135863	130918	123297	112220	103359	96197	89209	85362	89911	69690	131420	
0	4345	6410	7220	8177	8754	8790	8551	9736	11444	12026	12097	12974	13579	14505	15055	16142	17621	19527	20461	22261	24192	25432	26492	28010	29223	32054	34740	37706	41109	43992	45916	47528	47994	50202	56185	60729	64518	71691	76901	76322	79615	81949	82899	88418	93230	97559	103039	107170	109429	110296	112221	116418	121981	127664	126094	123840	124044	125287	130288	134385	136892	143687	151742	160490	167626	168132	171991	180172	186712	188026	186069	176935	159768	173957	99243	
.	5922	6808	7524	7952	8261	8308	8259	9045	10362	10491	10387	11314	11754	12413	13212	13527	14951	16400	16743	18319	20388	21120	21977	23287	24539	26621	29432	31808	34692	36815	37873	39339	39667	41765	46464	50231	53359	60735	64677	63836	65751	67224	68423	73028	77446	81049	86215	88997	90229	91202	91894	94210	99158	102826	102932	101288	100257	101829	106704	110361	113267	118877	123894	130483	135778	136764	139784	146634	151360	153035	148463	137909	121258	117395	60670	
@	880143	791920	852402	952081	1014770	997541	984768	1041766	1138768	1206936	1223974	1218890	1241967	1268764	1268469	1286592	1318305	1352527	1396937	1443392	1489516	1545543	1624999	1686973	1729891	1763605	1790371	1824145	1869136	1912316	1937648	1944213	1963105	1977952	1969638	1974603	1984088	1963415	1954880	1962509	1962806	1969932	1992642	2000737	1983905	1965964	1931695	1897865	1881178	1868759	1849403	1822655	1781198	1744850	1732497	1731476	1711886	1682570	1637309	1586099	1538507	1479073	1418637	1352170	1297343	1272881	1237729	1185403	1131629	1083523	1046690	1011740	1017124	808269	697130	
<	64475	83965	94390	104650	111980	105111	104635	115317	134346	142885	141505	148327	157456	165082	170707	185301	201287	213302	225656	238384	256808	268748	285564	306976	325346	352178	373097	392899	420688	443043	462239	477756	486207	502970	531796	556176	573646	598253	616628	624893	637339	652345	686877	727843	753514	774361	785657	794492	808552	813330	815270	822093	843650	850597	845798	831648	816495	809118	810747	813349	816997	822663	832127	836700	831224	824786	820113	810023	796005	782147	768302	755800	733509	716151	653790	
